"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/8","ホーム球場",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","大森廉也","左","JFE東日本",0,0,"000",0,0,0,"ストレート","真直ぐ系",141,8,1,"",0,1,1,,"フライ","右飛","B","CR",9,0,0,0,0,0,1,0,0,0,"2026/04/08 09:52:02","有馬諒",0,"","","","","","",109,149,227,102
"2026/4/8","ホーム球場",1,"表",0,0,1,2,2,1,1,"林翔大","右","ENEOS","本間巧真","左","JFE東日本",0,0,"000",1,0,0,"ストレート","真直ぐ系",142,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/08 09:52:34","有馬諒",0,"","","","","","",102,109,,
"2026/4/8","ホーム球場",1,"表",0,0,1,2,3,2,1,"林翔大","右","ENEOS","本間巧真","左","JFE東日本",0,0,"000",1,0,1,"チェンジアップ","落ちる系",127,3,1,"",0,0,1,,"ゴロ","二ゴ","B","CR",4,0,0,0,0,0,2,0,0,0,"2026/04/08 09:52:48","有馬諒",0,"","","","","","",194,98,93,64
"2026/4/8","ホーム球場",1,"表",0,0,1,3,4,1,1,"林翔大","右","ENEOS","猪田和希","右","JFE東日本",0,0,"000",2,0,0,"カーブ","曲がる系",114,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/04/08 09:53:25","有馬諒",0,"","","","","","",44,33,,
"2026/4/8","ホーム球場",1,"表",0,0,1,3,5,2,1,"林翔大","右","ENEOS","猪田和希","右","JFE東日本",0,0,"000",2,1,0,"カーブ","曲がる系",100,10,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/04/08 09:53:40","有馬諒",0,"","","","","","",280,303,,
"2026/4/8","ホーム球場",1,"表",0,0,1,3,6,3,1,"林翔大","右","ENEOS","猪田和希","右","JFE東日本",0,0,"000",2,2,0,"カーブ","曲がる系",122,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,3,0,0,"2026/04/08 09:54:10","有馬諒",0,"","","","","","",149,25,,
"2026/4/8","ホーム球場",1,"表",0,0,1,3,7,4,1,"林翔大","右","ENEOS","猪田和希","右","JFE東日本",0,0,"000",2,3,0,"ストレート","真直ぐ系",143,13,0,"ボール",0,0,1,,"","四球","","",0,0,0,0,0,0,2,0,0,0,"2026/04/08 09:54:24","有馬諒",0,"","","","","","",249,103,,
"2026/4/8","ホーム球場",1,"表",0,0,1,4,8,1,1,"林翔大","右","ENEOS","小松勇輝","左","JFE東日本",1,0,"100",2,0,0,"ストレート","真直ぐ系",144,7,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/04/08 09:55:04","有馬諒",0,"","","","","","",96,199,,
"2026/4/8","ホーム球場",1,"表",0,0,1,4,9,2,1,"林翔大","右","ENEOS","小松勇輝","左","JFE東日本",1,0,"100",2,0,1,"スライダー","曲がる系",125,6,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,2,0,2,0,"2026/04/08 09:55:19","有馬諒",0,"","","","","","",121,95,-33,68
"2026/4/8","ホーム球場",1,"表",0,0,1,4,10,3,1,"林翔大","右","ENEOS","小松勇輝","左","JFE東日本",1,0,"100",2,0,2,"ストレート","真直ぐ系",143,11,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,2,0,"2026/04/08 09:55:45","有馬諒",0,"","","","","","",268,239,,
"2026/4/8","ホーム球場",1,"表",0,0,1,4,11,4,1,"林翔大","右","ENEOS","小松勇輝","左","JFE東日本",1,0,"100",2,1,2,"ストレート","真直ぐ系",137,25,0,"ボール",0,0,0,,"",,"","",2,0,0,0,0,0,3,2,2,0,"2026/04/08 09:56:03","有馬諒",0,"","","","","盗塁失敗","",45,51,,
"2026/4/8","ホーム球場",1,"裏",0,0,1,1,1,1,1,"高根匠人","右","JFE東日本","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ツーシーム","真直ぐ系",130,14,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/08 09:58:43","下地滉太",0,"","","","","","",255,16,,
